address,rank_by_lowest_hf,hf,total_debt_usd,collateral_usd,usdc_debt_events_usd,usdc_share_for_model,is_material_debt_ge_100k,days_to_liq_current_observed_apr,days_to_liq_interim_u_current,days_to_liq_target_u_current,days_to_liq_interim_u_pinned,days_to_liq_target_u_pinned,hf_7d_interim_u_current,hf_30d_interim_u_current,hf_7d_target_u_current,hf_30d_target_u_current
0x69fc3fdff69bb82c3b0870d4e3717ca77f92b978,1,8.29723926e-10,9.52123923,1e-08,4.662058,0.4896482366823168,False,0.0,0.0,0.0,0.0,0.0,8.266563759037076e-10,8.166248168103905e-10,8.261364717504481e-10,8.144062581844226e-10
0x95f070a90b2001aef31e07ad2bb2773c433918e7,2,0.5239433395569402,0.1027807,0.06488104,0.1,0.9729453097711925,False,0.0,0.0,0.0,0.0,0.0,0.5208167575400904,0.5106723738754578,0.5201677819021407,0.5079495241126544
0x7369e908f5a1d42f8a961fcf8b6db67d0b0d2247,3,0.596120045820134,0.02047135,0.01470287,0.02,0.976975138425165,False,0.0,0.0,0.0,0.0,0.0,0.5925514972659033,0.5809739515997894,0.5918100945974246,0.5778637499265993
0xe63cca997a160d9903b4b0d0beb47aca84c5e41a,4,0.7575421675597502,0.01015769,0.00949985,0.01,0.9844758010925713,False,0.0,0.0,0.0,0.0,0.0,0.752980669828376,0.7381836351945136,0.7520313470654764,0.734202242591778
0x6ff1934a7cd909b25c855aff7271c01eb88435d7,5,0.7598197022191251,0.00101887,0.00095575,0.001,0.9814794821714252,False,0.0,0.0,0.0,0.0,0.0,0.7552551598860099,0.7404474631365319,0.7543058505718717,0.7364657120411108
0x81f32e1a67ba23d76a312bb0c1364da1cd53c4b5,6,0.8014607358862352,0.00819094,0.00924608,0.006905,0.8430045879960052,False,0.0,0.0,0.0,0.0,0.0,0.7971664979003464,0.7832019930940065,0.796305162795734,0.7795717624088057
0x36265ccb447d33aa7b4dcf0830b5fcdd91dbd5d1,7,0.8028936017484154,0.00156027,0.00160591,3e-06,0.001922744140437232,False,0.0,0.0,0.0,0.0,0.0,0.8017732434380673,0.7981028188686297,0.8017712575195193,0.7980941963696997
0x1a3fb7864cd73c0970bb585349e6252350132a59,8,0.8049802039548029,0.01089359,0.01056521,0.01,0.9179710269984459,False,0.0,0.0,0.0,0.0,0.0,0.8003840247003635,0.7854570258160265,0.799442730390114,0.7815001545310037
0x0e5416a49804bee4118e567ef41b8149284003a7,9,0.8418498142374907,0.00294462,0.00298666,0.002874,0.9760172789697822,False,0.0,0.0,0.0,0.0,0.0,0.8368140348357952,0.8204760327274027,0.8357680304962838,0.8160878736599728
0xde861b7819b9c1f5103a7324d80ffa4047443b0a,10,0.8424234286839444,0.00294562,0.00298971,0.002874,0.975685933691379,False,0.0,0.0,0.0,0.0,0.0,0.8373855262625697,0.8210405404779315,0.8363391608385911,0.8166508160076824
0xd4f66f7a4372213a61da91d3eb60d6d906d82cde,11,0.8451072270375183,0.00293163,0.00298499,0.00286,0.9755664937253337,False,0.0,0.0,0.0,0.0,0.0,0.8400537479122542,0.8236581903895379,0.8390041761285296,0.8192549962674307
0xa56a8d406145907e5b147f389360d88532ad968b,12,0.8453332901116825,0.00293063,0.00298477,0.002859,0.975558156437353,False,0.0,0.0,0.0,0.0,0.0,0.8402784922307005,0.8238786537058206,0.8392286485688318,0.8194743177152933
0x189e783178061c6f3a5b01f03d502cce26c9698f,13,0.9120300955524835,0.28133858,0.32091402,0.25726,0.9144142264455873,False,0.0,0.0,0.0,0.0,0.0,0.9068379076596158,0.8899742053121749,0.9057755275189823,0.8855077781440596
0x8735c78c123cf361335f038917cb46882f3f9ac3,14,0.9158453677295064,0.00132883,0.00156026,0.001293,0.973036430544163,False,0.0,0.0,0.0,0.0,0.0,0.9103797565232279,0.8926462803394708,0.9092452513740155,0.8878863523794257
0x51fe20da9f31a3e90ef26860c4a51ac366c5eec9,15,0.9629106961031579,0.20504346,0.23787776,0.2,0.9754029706677794,False,0.0,0.0,0.0,0.0,0.0,0.9571535267376111,0.9384748556412073,0.9559578485672251,0.9334586832168855
0x4fc22a89d06c188493718c69f7e0501e5ac21e69,16,1.000262066785523,210.10173071,269.43178384,200.0,0.9519198120079113,False,0.8803997198528501,0.3116437935382577,0.2581459133486188,0.27752665722848535,0.234006066388858,0.9943916777942605,0.9753377814223089,0.9931792174001169,0.9702470451916331
0xab03e779c1c17bd45da75abadeebaad44875ad2b,17,1.0006709240768659,10.34163602,13.26740317,9.702015,0.9381508864977439,False,2.2644141448594493,0.8065942608241513,0.6685263955975095,0.7185632705083526,0.6061725644521283,0.9948627292383209,0.9760061368972142,0.9936671416643649,0.9709838373277966
0x18530a8160ae9a75ac6bba01c9c532fbb4a59827,18,1.0007222056126344,1.03277029,1.37802155,1.0,0.9682695268083283,False,2.4118115903640605,0.8475048111270705,0.701537679508109,0.7543942430242073,0.6357384635503761,0.9947724222564518,0.9754663969221794,0.9935387858420683,0.9702896955558352
0xeb32dab5d38ff953cc323ace8efbdf4f897f1b1f,19,1.0011438335129708,5.00455419,6.42343406,4.372879,0.8737799280379058,False,3.949247052778245,1.4505702128070286,1.2058272892616861,1.294691199275809,1.0948217760685244,0.9956351290537965,0.9777307730491218,0.9945202818894302,0.9730371205528812
0x2201d5edfc604b1b97cab9535c49edc4fdfa04a2,20,1.001996010994104,6.17129697,7.92771147,6.0,0.9722429546280609,False,6.652218145920602,2.3334487911747614,1.9312365334919757,2.0768674198971473,1.7499702229209593,0.9960199935948622,0.9766302045041648,0.9947797708153747,0.9714265841911892
0xf7c83a9bd51599a2d45e702e2608dcc6816901fa,21,1.0022438375652003,353.31481115,453.98409256,186.0,0.5264426911359614,False,8.852307376904792,4.047153321704452,3.4468474930709956,3.668191078671596,3.164748370744863,0.998364870146517,0.985686462830062,0.9976899405382557,0.9828101059876871
0x992e4f567260bf4a00e3ba9c219484da0f37709f,22,1.0029332137619125,0.48408446,0.58494504,1e-06,2.06575521965733e-06,False,14.778993241206656,14.778904831229681,14.778876311838086,14.77888792300195,14.778859136371251,1.001542831762795,0.9969879903430456,1.0015428290975217,0.9969879787701149
