rank_by_lowest_hf,address,hf,is_hf_below_1,total_debt_usd,collateral_usd,available_borrows_usd,liquidation_threshold,ltv,usdc_debt_events_usd,usdc_debt_share_of_total_debt,is_material_debt_ge_100k
1,0x69fc3fdff69bb82c3b0870d4e3717ca77f92b978,8.29723926e-10,True,9.52123923,1e-08,0.0,0.79,0.75,4.662058,0.4896482366823168,False
2,0x95f070a90b2001aef31e07ad2bb2773c433918e7,0.5239433395569402,True,0.1027807,0.06488104,0.0,0.83,0.0,0.1,0.9729453097711925,False
3,0x7369e908f5a1d42f8a961fcf8b6db67d0b0d2247,0.596120045820134,True,0.02047135,0.01470287,0.0,0.83,0.0,0.02,0.976975138425165,False
4,0xe63cca997a160d9903b4b0d0beb47aca84c5e41a,0.7575421675597502,True,0.01015769,0.00949985,0.0,0.81,0.785,0.01,0.9844758010925713,False
5,0x6ff1934a7cd909b25c855aff7271c01eb88435d7,0.7598197022191251,True,0.00101887,0.00095575,0.0,0.81,0.785,0.001,0.9814794821714252,False
6,0x81f32e1a67ba23d76a312bb0c1364da1cd53c4b5,0.8014607358862352,True,0.00819094,0.00924608,0.0,0.71,0.0,0.006905,0.8430045879960052,False
7,0x36265ccb447d33aa7b4dcf0830b5fcdd91dbd5d1,0.8028936017484154,True,0.00156027,0.00160591,0.0,0.78,0.7294,3e-06,0.001922744140437232,False
8,0x1a3fb7864cd73c0970bb585349e6252350132a59,0.8049802039548029,True,0.01089359,0.01056521,0.0,0.83,0.0,0.01,0.9179710269984459,False
9,0x0e5416a49804bee4118e567ef41b8149284003a7,0.8418498142374907,True,0.00294462,0.00298666,0.0,0.83,0.0,0.002874,0.9760172789697822,False
10,0xde861b7819b9c1f5103a7324d80ffa4047443b0a,0.8424234286839444,True,0.00294562,0.00298971,0.0,0.83,0.0,0.002874,0.975685933691379,False
11,0xd4f66f7a4372213a61da91d3eb60d6d906d82cde,0.8451072270375183,True,0.00293163,0.00298499,0.0,0.83,0.0,0.00286,0.9755664937253337,False
12,0xa56a8d406145907e5b147f389360d88532ad968b,0.8453332901116825,True,0.00293063,0.00298477,0.0,0.83,0.0,0.002859,0.975558156437353,False
13,0x189e783178061c6f3a5b01f03d502cce26c9698f,0.9120300955524835,True,0.28133858,0.32091402,0.0,0.7995,0.7578,0.25726,0.9144142264455873,False
14,0x8735c78c123cf361335f038917cb46882f3f9ac3,0.9158453677295064,True,0.00132883,0.00156026,0.0,0.78,0.73,0.001293,0.973036430544163,False
15,0x51fe20da9f31a3e90ef26860c4a51ac366c5eec9,0.9629106961031579,True,0.20504346,0.23787776,0.0,0.83,0.0,0.2,0.9754029706677794,False
16,0x4fc22a89d06c188493718c69f7e0501e5ac21e69,1.000262066785523,False,210.10173071,269.43178384,0.0,0.78,0.75,200.0,0.9519198120079113,False
17,0xab03e779c1c17bd45da75abadeebaad44875ad2b,1.0006709240768659,False,10.34163602,13.26740317,0.0,0.78,0.75,9.702015,0.9381508864977439,False
18,0x18530a8160ae9a75ac6bba01c9c532fbb4a59827,1.0007222056126344,False,1.03277029,1.37802155,0.0,0.75,0.0,1.0,0.9682695268083283,False
19,0xeb32dab5d38ff953cc323ace8efbdf4f897f1b1f,1.0011438335129708,False,5.00455419,6.42343406,0.0,0.78,0.75,4.372879,0.8737799280379058,False
20,0x2201d5edfc604b1b97cab9535c49edc4fdfa04a2,1.001996010994104,False,6.17129697,7.92771147,0.0,0.78,0.75,6.0,0.9722429546280609,False
21,0xf7c83a9bd51599a2d45e702e2608dcc6816901fa,1.0022438375652003,False,353.31481115,453.98409256,0.0,0.7799,0.7499,186.0,0.5264426911359614,False
22,0x992e4f567260bf4a00e3ba9c219484da0f37709f,1.0029332137619125,False,0.48408446,0.58494504,0.0,0.83,0.0,1e-06,2.06575521965733e-06,False
23,0xa64073dcca3075af9a93f3bf37700ac201dc2599,1.0041003195607687,False,605.15993486,779.02728728,0.0,0.7799,0.7499,595.916082,0.9847249424036333,False
24,0x928a1bc9cc5871cdd6cbe18a5f9cc03aa54664b0,1.0041543051699544,False,7647.06463684,9844.65753461,0.0,0.78,0.75,7238.318736,0.9465486536009056,False
25,0x62d4cf2c2c6c1e37b3f0ec537da9cdb38190f6c5,1.004265174040579,False,0.919096,1.18335398,0.0,0.78,0.75,0.90504,0.9847067118124765,False
26,0x6ccc8625a9adc402569f05fb23d656538a3f8834,1.0046400918476472,False,0.35124253,0.45240042,0.0,0.78,0.75,0.3425,0.9751097055359441,False
27,0x0d8eec7f44b95c63e4b955013743030a0e4b751d,1.00483901075944,False,0.52714175,0.67909307,0.0,0.78,0.75,0.5,0.9485114772260024,False
28,0x5cb61bd967ee38f79b79a05b30cd1b4d31511be4,1.0050436245230134,False,90.76310929,116.94985171,0.0,0.78,0.75,89.0,0.9805746045525321,False
29,0x3da623926153b9bb377948b6b5e2422622eb43f0,1.0058173136388044,False,0.51258364,0.66098141,0.0,0.78,0.75,0.5,0.9754505625657502,False
30,0x65d4a9ffcd2f3386a9c5898a153af2ff1ebc062c,1.0064824843627787,False,917.61839275,1003.8769996,0.0,0.92,0.9,891.390437,0.9714173604657185,False
31,0x6f1e5e1256856e586ce4792c1288f82c7a389d70,1.0067867746731485,False,20.22191474,26.10148246,0.0,0.78,0.75,20.0,0.9890260273147606,False
32,0xbcb4cd1a13b156bdf209daef3b590537e985943d,1.0070549127357478,False,0.87953713,1.13556691,0.0,0.7799,0.7499,0.473478,0.5383263353532329,False
33,0x98cf87bc66094bb831d15a1cbe645083e0562413,1.0071558930593278,False,0.50479765,0.6518076,0.0,0.78,0.75,0.5,0.9904958947411899,False
34,0xb54a9f549cb654414ea4c184de4f7e07dbcb0dcd,1.0073312366206908,False,440.48155888,568.86004284,0.0,0.78,0.75,436.748859,0.9915258657150345,False
35,0x7904c2eeec63315ad1634ab7d7b94c8c198160c8,1.0073818855443306,False,606.12941633,663.69977642,0.0,0.92,0.9,604.295846,0.9969749524101602,False
36,0x6ebfe83839fed0660e7d7fd48b510a83336ad6ae,1.0074664744494992,False,64.77155759,83.66047791,0.0,0.78,0.75,63.819807,0.9853060413333808,False
37,0xb0f76a4c60c6c993ac30bdda24c5f7f98a03249c,1.0075495661014957,False,903834.09707368,1167509.81068503,0.0,0.78,0.75,845027.680017,0.9349367132230615,True
38,0xd469ce76ca266dc2b84b2782a1879e6e0743492d,1.0077873246014077,False,187.8477448,228.19070308,0.0,0.8296,0.0052,0.648467,0.0034520882893239826,False
39,0x7788f5e09fd3796c72df63cf7cb8e9b9c8965ccc,1.0078234999466484,False,210.05958217,271.40937568,0.0,0.78,0.7497,200.0,0.9521108151026463,False
40,0x77ce206c6c50e569d55a326163235069207897ff,1.0080758983031237,False,5.92807746,7.66147684,0.0,0.78,0.7499,5.0,0.8434437697107959,False
41,0x0d734e412a04ddd47dff0dad9d648bc6d2bf6666,1.0088743590805112,False,1.16716688,1.5096471,0.0,0.78,0.75,1.122309,0.9615668669419407,False
42,0x98a729d4f94111ac21df906fcda107dcbc65d0b7,1.009287058804925,False,361.78456131,467.51785282,0.0,0.781,0.7345,12.957016,0.03581417613035622,False
43,0xb1552a08a523014cb4fd0e9790d797b0108f4cba,1.0094124078338054,False,142.23054545,184.06317609,0.0,0.78,0.75,141.79897,0.9969656626947851,False
44,0x1fe56fbfafdd6dcbf254ef69109a94c28764d555,1.009529135938125,False,1351.59314318,1749.32392048,0.0,0.78,0.75,147.311259,0.10899083037178568,False
45,0x8a47b469d1023f43df528e0c020aa212e962ac27,1.0106552665255444,False,184.63810966,202.84137236,0.0,0.9199,0.8999,179.998767,0.974873320201647,False
46,0x9a23909fbba6466b2c3849fa2e63cee40cb9c80c,1.0109294222447847,False,0.06224695,0.06839921,0.0,0.92,0.9,0.05743,0.9226154855780082,False
47,0x0591926d5d3b9cc48ae6efb8db68025ddc3adfa5,1.0124509320377557,False,60157937.49190685,66203217.26429363,0.0,0.92,0.9,50804404.387281,0.8445170580210767,True
48,0x2407c34f93ab008c8732c3c4a5b6539f7b387dc3,1.0149520363764695,False,0.27989962,0.34227071,0.0,0.83,0.0,0.0009,0.0032154384489696698,False
49,0x32ba787a7a0c2ee43a5a78442cfa4c96053b588b,1.0149523986628066,False,0.2798997,0.34227093,0.0,0.83,0.0,0.0009,0.0032154375299437623,False
50,0x2669bfc8b9699eecc27a36d445b8ba4467a44143,1.0149524217084755,False,0.27989971,0.34227095,0.0,0.83,0.0,0.0009,0.0032154374150655603,False
51,0x03af9b926d31c7b83dd5031181a320508ade18b4,1.0149524281529472,False,0.27989979,0.34227105,0.0,0.83,0.0,0.0009,0.0032154364960402435,False
52,0x51441aa1478dd202d531b47e83bb5aa3c3cabaf0,1.0149524347607561,False,0.27989978,0.34227104,0.0,0.83,0.0,0.0009,0.0032154366109183796,False
53,0xce0b0ca9aeefa8ec8e16f99701949d537fe0c119,1.0157304129936906,False,0.17216171,0.22419216,0.0,0.78,0.75,0.163347,0.9487998231430206,False
54,0xbf8eb6c9aa51f832f7b457a6a9ea86b6ce100c56,1.0157759763252956,False,3.19101765,4.15558861,0.0,0.7799,0.7499,1.070258,0.33539707936118746,False
55,0x0a57e97848b7948c38da2416aa39112e0ecf9c1e,1.0163640212044613,False,1828.6393887,1998.4551424,0.0,0.93,0.9,1780.475011,0.9736610848494078,False
56,0x255f1323ec833b939fc0ce4f8a9218d216c605a4,1.0164816918063284,False,2698.28254312,3516.35231057,0.0,0.78,0.7499,2484.429202,0.9207446448981864,False
57,0x211c2f0b9b5a521c7c14fe067baa89fbab8d6a6e,1.0177388318927116,False,11536.28399831,14145.69180822,0.0,0.83,0.0,11007.0,0.9541200616777866,False
58,0x78a0e7b9a147ae44a29710021dfb11752b424cfc,1.0182157018860971,False,0.25903334,0.31777327,0.0,0.83,0.0,9e-05,0.00034744562225078827,False
59,0xa3c6f5f213ad0b2b7ca1d41eadfdef2736204a1e,1.018243813766938,False,0.2789945,0.34227039,0.0,0.83,0.0,9e-05,0.00032258700440331267,False
60,0x882fc68635ae289c1911fc367e0e69c8d65553f0,1.0182438708150277,False,0.27899468,0.34227063,0.0,0.83,0.0,9e-05,0.0003225867962786961,False
61,0x0ebfbd56048342305f337179239cab14fd4cca91,1.018754153393488,False,9456.96178921,10472.08597961,0.0,0.92,0.9,9296.373571,0.983019047576863,False
62,0xe8b559907dd6d729e29ffd0a3c3b4184d466c993,1.0191360187914633,False,200.83393468,246.5989116,0.0,0.83,0.0,200.0,0.9958476405826099,False
63,0x67672db04f5e6b5fcbccc9564a36c2b3a85fc9b0,1.0202480274630001,False,4135760.38332742,4586414.53603198,0.0,0.92,0.9,168850.0,0.04082683336314373,True
64,0x5a1de4f44f4847b4e0889c211088bb2ae1c463e3,1.0209361812331026,False,2488.86917128,3257.66229143,0.0,0.78,0.75,2408.912908,0.9678744611397635,False
65,0x512f98be678c85f1b66f643cca4d557a36a9ad5c,1.021837138051112,False,36991.724185,46600.85284315,0.0,0.8111,0.2829,31317.634778,0.8466119238286054,False
66,0x350d7ebf954b244b30c04e40563f2a59037fc91c,1.0222625670816425,False,3480.4409185,4561.44161331,0.0,0.78,0.7499,3351.636626,0.9629919612152152,False
67,0xb6fa5eeeef79c37788ea1bb024ac05481408b810,1.0227846482881402,False,4164.49222704,5460.74194581,0.0,0.78,0.75,3700.0,0.8884636585406361,False
68,0xe49384e6aca6a26c82eaa161a9211fa60feee3ef,1.0230453428834367,False,2.26009138,2.51323474,0.00181988,0.92,0.9,2.192469,0.9700798027024907,False
69,0xaa694029b7b68dae8533b56c5df95c3356befeb9,1.023892156900191,False,3808.68702854,4999.59585402,0.0,0.78,0.7499,3561.139796,0.9350045748876107,False
70,0x9e283ba6d80faaf1bee7270e21eee5c375266611,1.0240575610617442,False,226846.58873221,297825.59518095,0.0,0.78,0.7499,213709.448082,0.942087995576084,True
71,0xf450f47f41977c6ddf69dbdd8969d7b5cd8f4740,1.024226943312411,False,50.64125714,56.37841305,0.0993146,0.92,0.9,50.321749,0.9936907541786194,False
72,0xdd575d09db4b0a5aecc936f3479b47bdb657adba,1.0242610176434124,False,1105.24114496,1451.3530958,0.0,0.78,0.7499,574.478266,0.5197764022988767,False
73,0x3df736422ee7fa0d2cce5da1d3ff719faef504b9,1.0242991537946364,False,4731.42632324,6213.32817838,0.0,0.78,0.75,4280.99976,0.9048011038389042,False
74,0x1fb416b8b45577cc073f7469fbccd3132e0f8e16,1.0243399833539526,False,4133.75081733,4602.57200371,8.563986,0.92,0.9,4011.059013,0.9703194968076845,False
75,0xb83e7fa083c26974121649ab6fc8d7564aae3216,1.0244107456234801,False,1054.47966839,1333.60531254,0.0,0.81,0.7849,939.390818,0.8908572124811853,False
76,0x3fa541324ea7663037c712ea03494ecfa807c2e2,1.0245098137741426,False,166.93617065,185.89972294,0.37357999,0.92,0.9,162.057086,0.9707727532565154,False
77,0x9bb6ee8683eb6832d3f33029ed6da8176a1ef628,1.024723801630967,False,0.81703922,1.07338402,0.0,0.78,0.75,0.7425,0.9087691041318678,False
78,0x78ff401153620f6cee0bd88ac26e7998aba7af6e,1.0248015540149293,False,150.06280545,197.15973875,0.0,0.78,0.75,99.0,0.6597237716776272,False
79,0x55ea3a3e91457591878ea48c87e12c9ff91e69de,1.0252732530557258,False,7151.80331967,9400.70853176,0.0,0.78,0.7488,6710.182187,0.938250380647999,False
80,0xb63eae4824655acaec153328b89410bd81d6abfc,1.025430188895485,False,5135.24226168,6751.06723387,0.0,0.78,0.75,5000.517773,0.9737647258269904,False
81,0xc5186844f6a61335aaac844de76dd229022bab7a,1.0257902412216515,False,1351.9717355,1777.99924703,0.0,0.78,0.75,9.0,0.006656943901768426,False
82,0x355b5f013a1ede94607f7a4ce45c0132f053507c,1.0259357905638156,False,21740207.5766806,24243540.2686992,78978.66514868,0.92,0.9,1915000.0,0.08808563548648468,True
83,0xd0cac51d27084b56b382703ddd8a425f5f7fb2dc,1.0269673758551419,False,37.98404695,50.01073977,0.0,0.78,0.75,36.195878,0.9529231587051837,False
84,0x211366fd23bca80c0cc3ca2ba5dd8666e00b115e,1.0276484695446004,False,2.35078363,3.09715282,0.0,0.78,0.75,2.249998,0.9571267943532515,False
85,0x9557b0bcdff25fe0b0bc420767f65e4a276a71c2,1.027695941610374,False,6.10477758,8.04340403,0.0,0.78,0.75,5.846925,0.9577621663326839,False
86,0x3b249acb53fee7e163d016d3e3bf0229c856cc81,1.0279058461276747,False,6.35879869,8.37980301,0.0,0.78,0.75,6.078926,0.9559865465720538,False
87,0x1abbf944c1a54e9b177afe27086e45c9353aeefe,1.0279413050258817,False,1126.42207571,1245.04922421,0.0,0.93,0.9,961.0,0.8531437910556466,False
88,0x6f10b22517ab7a3f5aa722e62a6917a3a7c2e2b8,1.0280142258698626,False,1614480.45109709,1804031.38164848,9147.79238654,0.92,0.9,1152000.0,0.7135422415410356,True
89,0xd4448a0fc4ea7a6c8e3cea74e1ed89277ac2259d,1.028030296796161,False,7.99264314,10.53420423,0.0,0.78,0.75,7.665,0.959006909946939,False
90,0xd0a2b573be610c4ba5aed356bf9ddcba5cd2dd7a,1.028448535268608,False,0.00011299,0.00014898,0.0,0.78,0.75,0.0001,0.8850340738118418,False
91,0x0d3226e0deefbe8818bfcca963ee644f04e11b5f,1.0287599668841816,False,146.07626852,192.66335534,0.0,0.78,0.75,0.158518,0.0010851728457062586,False
92,0xe9708d063cd9191c1cc7e01433b93d6b28242ff7,1.0288216845149267,False,39.89705626,52.62430337,0.0,0.78,0.75,37.125049,0.930521007817332,False
93,0x02864be954583456c866130f845595ed70f955b2,1.0288747296410252,False,3835.47461317,5059.26011776,0.0,0.78,0.7499,2846.315522,0.7421025581101512,False
94,0xb1bcfa1004019f54ffd1e6f0bfe9425f82e71fb2,1.0291636238169706,False,20593.14300153,27171.42768329,0.0,0.78,0.7499,19118.184631,0.9283762381283704,False
95,0xa57e4d659e6fb88317a68ea19d18cb8784908157,1.0299772016822248,False,31981.53250114,42231.08874306,0.0,0.78,0.7499,385.0,0.01203819735612346,False
96,0x755a513d6adad8486c44e126abc3a739251b0aa6,1.03025283376332,False,520.98172756,585.97455604,3.81708482,0.9159,0.8956,265.174289,0.5089896151289887,False
97,0xf2035c797bc9ef9f3396e747e8b73907d420770c,1.0310579793449737,False,209231.17248524,234488.55425936,1808.52634818,0.92,0.9,174456.215954,0.8337964839646771,True
98,0x8a93aae912e40dad3b64120c74dd27269acc1df7,1.0310607285714544,False,805889.53894692,1065283.40407016,0.0,0.78,0.75,766901.97353,0.9516217005771458,True
99,0x2304eb247ae2dcf91ba372b458fc7e4ccc55ee42,1.032498799065959,False,8047529.99841022,9031592.45522373,80903.21129113,0.92,0.9,7999659.90554,0.9940515794436706,True
100,0x848edbf93e6c56a2580023b820591622ad7f80a2,1.0325885591207709,False,110870.4783984,146773.83017748,0.0,0.78,0.7498,26899.991978,0.24262538023276176,True
101,0xc2bf1654db994f4b3009b0c69c4ca1e9285f74de,1.0328990190431888,False,58.20578271,77.07781521,0.0,0.78,0.75,54.90044,0.9432128122652644,False
102,0x53144384f3425c985ca395fc4474819274252b54,1.0334106238084841,False,14.92573047,19.77488261,0.0,0.78,0.75,13.869334,0.9292231310137011,False
103,0x22a87050dab366f079976265c1e03a7731ebc17e,1.0339553878177008,False,516.80723497,685.07131418,0.0,0.78,0.75,369.0,0.7139992922533679,False
104,0x8bf7865de9c806a1a63f66d3a421024e3cc5878a,1.0349982062138132,False,391.15311241,510.56167056,0.0,0.7929,0.5488,0.905943,0.002316082810688225,False
105,0x287f4637b332457934e700f52ce772c2ec2881f6,1.0353942795932416,False,92750.85407374,123120.13265198,0.0,0.78,0.7499,89761.741959,0.9677726728816582,False
106,0x0c245411babbef9d19b4929be810a7c8c1937a6f,1.0355889180057984,False,15997.42378037,18007.34215608,209.1841601,0.92,0.9,15594.140721,0.9747907497540411,False
107,0x3313495b01228b95ae6b0103ce9e4161a32202bf,1.035609143974411,False,662142.69706815,879129.52782007,0.0,0.78,0.7499,63964.035591,0.09660158735303033,True
108,0x618ca7d5aef24dac6cb70553b5dbf5f40a315cac,1.035853862732397,False,10983.14977833,14585.81810622,0.0,0.78,0.75,10447.231272,0.9512053903346216,False
109,0x9669cb2529663ac0dd695849586fc158b525a20b,1.0363788581320503,False,21.38116164,28.4089537,0.0,0.78,0.75,20.331984,0.9509298111269505,False
110,0x795f1776157d00543b3619fe3accdd5f362f2166,1.0366991876207678,False,157.55218366,209.40284719,0.0,0.78,0.75,150.0,0.9520655094422701,False
111,0xef4525b94bbc3b6e207890000565041c2b328791,1.0368703486058135,False,1150.52502764,1529.41703396,0.0,0.78,0.75,462.457167,0.40195315694140915,False
112,0x17b9f4fb6860d3bd05d6393a1fb29e9782a593d9,1.037180745364199,False,20062.04724609,26676.88342288,0.0,0.78,0.7499,19327.467685,0.9633846161321764,False
113,0xe50aa8a5c8201e913376735ebb0392fce055d473,1.0373191402967037,False,535.5965087,712.28783327,0.0,0.78,0.75,521.977533,0.9745723217407523,False
114,0x6d16527bfa9514e246f71137c19a304b64f1e46a,1.0387113351068757,False,17509.42224871,23316.96841142,0.0,0.78,0.75,16717.931582,0.954796300216684,False
115,0x3e5da6b22660131d86ef9c88f1053aecc71e659d,1.0390888703307868,False,99.52583772,132.58485934,0.0,0.78,0.75,95.505008,0.9596001419117721,False
116,0x6c87a26bec3cf0e0156eba691cbfd1b4c5ec12cc,1.0394260320684758,False,43992.54056119,58624.34855914,0.0,0.78,0.75,40000.0,0.9092450558603974,False
117,0xa8cf19d23d9331754bda7656cc0f0bd422df9d83,1.0395297684617737,False,11159.13075289,14872.11358028,0.0,0.78,0.7499,10959.294741,0.9820921524879305,False
118,0x8f0f76532ce7ed9df4f1e67215bccce5aa1dfb48,1.0395719357752728,False,15.56893619,20.75003735,0.0,0.78,0.75,14.971305,0.9616138711915422,False
119,0x44d322a634ca8f4ecaae5d0bea3e49496f09b2d5,1.0400593357322345,False,83932.80037578,111916.785391,4.78866747,0.78,0.75,83051.000629,0.989493979197262,False
120,0xf864d571d0ee3567ebcd3954bb3c9df043307be6,1.0401352678332676,False,5273.05388406,7031.6529661,0.0,0.78,0.7499,5267.479094,0.9989427777180787,False
121,0xa6a0a322dfa4e0094dcccc074f70183ce537dab4,1.0402865023257244,False,5766.58684401,7690.90058279,0.0,0.78,0.7494,5600.0,0.9711117081011204,False
122,0xf71aca40851e524c807659a4db422c855e49d9d3,1.0404692738917207,False,128.12376495,170.90877011,0.0,0.78,0.0,125.0,0.9756191604951739,False
123,0x7460339c10cf19df91f2fb9138f4be69fff85155,1.0404760183213873,False,117.09491693,131.0047881,2.11944024,0.93,0.91,114.378636,0.9768027425851132,False
124,0xaddaa4ab654434c7e0540245aa98ed4589361e02,1.0404844676025091,False,28497.66392075,38014.58547756,13.27518742,0.78,0.75,26100.0,0.9158645449880476,False
125,0x7ed3c9862b787dbafbe7a7a7dff0628f2a940e48,1.0406660420727851,False,259.42443257,293.45021463,4.68076059,0.92,0.9,252.240245,0.9723072052280136,False
126,0xf6376b84472483b371c4d7c18d2486ed7ed6ddba,1.0408712430182998,False,717.48128785,811.74526079,13.08944686,0.92,0.9,699.2881,0.9746429793249137,False
127,0x887fe8085ba6f998a5e4f040718516bd062da3da,1.0408718315195005,False,3845.48751073,5131.61488923,2.7104947,0.78,0.7499,1573.009499,0.4090533370894738,False
128,0x93621dca56fe26cdee86e4f6b18e116e9758ff11,1.0408935716082512,False,7.67965067,10.24833207,0.00659838,0.78,0.75,7.425,0.9668408524108038,False
129,0x6390b95888279c894d7d077d2b337b56d0db5bbf,1.040907896386315,False,76.94420052,102.68182808,0.06717054,0.78,0.75,74.398514,0.9669151605605637,False
130,0x08c4fe627a81ddb096e703582fcaf9b8f6c0e43e,1.0410732389120807,False,72.4987981,82.03973756,1.3369657,0.92,0.9,70.0,0.9655332479229058,False
131,0x0dc93790bdeaf559245dfd8ac4955d45c99fab1d,1.0410784520149914,False,0.00047494,0.00063391,4.9e-07,0.78,0.75,0.000465,0.979071040552491,False
132,0x65d9fcc33e1a4d2a9925fdab7f2af7a1bd7a2608,1.0412665505744896,False,17.98740205,20.35834792,0.33511107,0.92,0.9,17.030434,0.9467978729034969,False
133,0x5c1f8cda1c3615232adf11859647038d945fc9c2,1.0413969318905945,False,62.38919305,83.29732593,0.08380139,0.78,0.75,59.0,0.945676600636847,False
134,0xf57af81613f9cb8f5515f2ebf8c65386cd13d568,1.0417911404703109,False,6921.57303433,9244.65827339,10.99620488,0.78,0.7499,4011.175763,0.5795179423962081,False
135,0x5a988f1ea42c216c73a0ea0f8ad886616afaabaf,1.042192439165091,False,11867.95972016,15857.30498547,23.43328844,0.78,0.7499,3177.398145,0.26772909749622603,False
136,0xf183b397d161402c46d4d32b08819c3cfd322975,1.0424505525444758,False,82275.55135702,109959.22273705,138.88608439,0.78,0.7495,76439.813508,0.9290708144428367,False
137,0x30963fb71ec4a5d88fece5c540d156788b00b10d,1.0427106790447667,False,50266.40501064,63148.57506239,0.0,0.83,0.0,49280.224989,0.9803809319279695,False
138,0x4136b06daf9ade698faacd632ec9fc3ed7161424,1.0428452337854603,False,388.58439136,519.52997494,1.06308984,0.78,0.75,362.222684,0.9321596339272994,False
139,0x1f330b778082552d99280657b57ec1f0e080ac95,1.0432316938629873,False,12.59418835,14.28114831,0.25884512,0.92,0.9,11.945999,0.9485326618924197,False
140,0x480e949fd6d50523a94f4d5930a203d51a5689d4,1.0432406282215263,False,793.97755383,1061.93543598,2.36782961,0.78,0.7499,195.309087,0.24598817190469088,False
141,0x9ddf2f116bb876b8614f7988ad8b6c07433663a7,1.0434004354109188,False,7164.8880775,8125.92102145,148.4408418,0.92,0.9,7002.610539,0.9773510016144422,False
142,0x5700bfd5bd9f5b41158094a50b43ae5b77cdb5ac,1.0436196297280957,False,22323.12261437,28068.6988011,0.0,0.8299,0.0,19940.105667,0.8932489424290494,False
143,0xee82e96a09ffe53c3b49ec6a3c424ff3abd58813,1.0436662974425654,False,64714.65775466,81374.10511936,0.0,0.83,0.0,61994.360531,0.9579647437220029,False
144,0xe7ef13fddfdbb299d2f1caac9d7234877a74a432,1.0447440276284248,False,7134.81724497,9556.48421304,31.59026638,0.78,0.7499,2434.110572,0.34115948431840104,False
145,0x407a4e523a4e7eab58eb61fb66d7b0555f6dfb08,1.0448250313734708,False,15266.99947035,19218.48578384,0.0,0.83,0.0,15245.16067,0.9985695420771833,False
146,0x9dc2645d2124d413102ceb1c4ff22ae87281728b,1.0452844624122581,False,25553.68888265,34244.71016963,126.41927355,0.78,0.7499,5655.0,0.221298773181806,False
147,0x098c6387a8ec31df4c55706327918ed5a315cbab,1.0457056564935723,False,11808.71044836,15754.09624881,0.0,0.7838,0.6858,5492.049081,0.4650845750699848,False
148,0xd9154e919707845d2e3a77ae3831bf6bd2f757f8,1.0460732572606377,False,132755.92828227,178041.57220371,775.25087051,0.78,0.75,130000.0,0.9792406386823626,True
149,0xc0c7a4627fcdd79c6aeb1f408111fb77a2318526,1.046754331965502,False,9686652.84352384,11021245.46326579,232468.07341537,0.92,0.9,8469329.161268,0.874329791526523,True
150,0x099c2ac07655bfbcb3a2f81efa6f7f1d5541220d,1.0469227655434135,False,11.17540005,14.99971888,0.07438911,0.78,0.75,11.042241,0.9880846278966094,False
151,0x8d0239f4c6af227b004855e8149ba61944eea074,1.0470870180368972,False,0.75836381,1.01804218,0.00516782,0.78,0.75,0.742499,0.9790802121741543,False
152,0x82915692fa5f0a9fe9129559f6efa6ca5c2aad70,1.0473390692687696,False,0.85077085,1.14236609,0.00600371,0.78,0.75,0.842006,0.989697754689174,False
153,0x501cb1e05cd6618008ab4d35e589ed8999bdd460,1.0475200564260343,False,61925.80480431,70509.26363352,1532.53246585,0.92,0.9,59949.969535,0.9680935068094184,False
154,0xfafd1970843876c1cfec862549dd5f67d482f4bf,1.0478012613924925,False,0.08240734,0.11070066,0.00061815,0.78,0.75,0.081734,0.9918291259006783,False
155,0xf005093464e14cbacf0f9b9a371269fc118776dd,1.047856373540153,False,24446.63661165,34155.41864685,0.0,0.75,0.0,23799.335456,0.9735218727249568,False
156,0x9914ce0588fb733bcff7a5e642e07ae9fc8d76c4,1.0481294755714772,False,3.78730964,5.08921906,0.02960465,0.78,0.75,3.759529,0.9926648088905664,False
157,0x0265b91db88fb84281995c8e2fda7b54499ecc35,1.04838824503971,False,38227.61105256,48938.7383643,0.0,0.8189,0.1641,37750.475932,0.9875185734231737,False
158,0x188140522d620ed433b8d47c3a9648e1f81d5620,1.0497696554336873,False,10056.97088098,13535.26007235,94.47417328,0.78,0.75,10023.758206,0.9966975468684302,False
159,0x1b023ad2daf04fafea6af178e910b22a7953d95a,1.0500500649008766,False,9607.47050883,10996.31916847,258.42704912,0.9174,0.8972,9492.772022,0.9880615312090124,False
160,0x962efd5e61e34342df02f8b2ec134f33c8643668,1.0505088154676028,False,1502.72199979,2023.87526095,14.98205839,0.78,0.7499,1366.573959,0.9093990499846105,False
161,0xb352a6cd9cf58b8b7d3f675bb0afed4b48c4e15c,1.0510403249693663,False,16.56332368,22.18191274,0.0,0.7848,0.6777,13.96,0.8428260094232488,False
162,0x0ac921401d1520335c1273408ca0d8a53bd27910,1.0510823114302705,False,9672.52741513,13034.1313458,101.76768108,0.78,0.7499,1488.422299,0.153881424690694,False
163,0xa57ea11eb2d4b7d6dfa96e6a2a1285c116e58948,1.051090555338548,False,105.13761113,120.11864138,2.96916611,0.92,0.9,104.60509,0.9949350082784215,False
164,0xcb954495438b23e792de53f1352cafe20e14521a,1.051903284561269,False,1594697.7547564,2042431.00427049,0.0,0.8213,0.1376,10866.613213,0.0068142149072379825,True
