rank_by_lowest_hf,address,hf,is_hf_below_1,total_debt_usd,collateral_usd,available_borrows_usd,liquidation_threshold,ltv,usdc_debt_events_usd,usdc_debt_share_of_total_debt,is_material_debt_ge_100k
5340,0x289e4ae4614356471cac5193108889de33d04e2f,2.0591635244229396,False,251.27821931,623.40113697,0.0,0.83,0.0,250.0,0.9949131312952235,False
5341,0xc14f1cfd3492d6e17ae81408ab8de61d9e9624e4,2.0592522871914256,False,482.28315854,1273.25986833,447.19654534,0.78,0.73,477.18,0.9894187502722496,False
5342,0xac830e074cf27f2def6850755d192b34ef85b0f8,2.059896328796907,False,28303.09494891,77735.2551718,0.0,0.75,0.0,27756.303617,0.9806808643048751,False
5343,0x95dd8a1f573ce359167c20ca0f64d3761cb9f398,2.06016215819582,False,175170.16517941,445529.56240436,174570.54130801,0.81,0.785,34000.0,0.19409697972926532,True
5344,0xdfd5c1b2645ed0f33803fbfff0e0bf020f4bb25b,2.0603780215515686,False,0.59803257,1.48454598,0.0,0.83,0.0,0.5,0.8360748646181595,False
5345,0x0984c2a0ab37af55dd5b8cc819920748fac480d7,2.06055951927213,False,267008.47866374,662875.73787583,0.0,0.83,0.0,257687.897301,0.9650925640661847,True
5346,0x7a12b0327d2316b1685e15fc2d94975200732789,2.060585610265173,False,9172.17167891,23125.60298687,0.0,0.8172,0.2385,8665.707228,0.9447824933243959,False
5347,0x41d0670e315dd8d1a3eaaee1eddd144cfa41ad85,2.0606260165363715,False,78714.58249574,200803.94426846,0.0,0.8077,0.3247,76447.164518,0.9711944355690039,False
5348,0xd3ebc8f8807e20204e7af89fb629aa7f45d52217,2.060885231261448,False,561513.19046958,1473786.41444671,402490.50322001,0.7851,0.6541,534538.466179,0.951960657828854,True
5349,0x7050c8a42a9be5ec989869c6014eef1af2840497,2.0608879834750056,False,524.47590356,1302.2723943,0.0,0.83,0.0,520.0,0.9914659500472399,False
5350,0x275c05fa2a5540b0f576c25724e21be03ecc308f,2.0610511519130443,False,3033.36777837,7534.74229403,0.0,0.8297,0.0038,2747.05669,0.9056128009232526,False
5351,0x4cf2a195264ffc78dfed427cb01e4eee7b72ccb1,2.0612580040929136,False,509.21079304,1345.66002939,473.12102841,0.78,0.73,500.0,0.9819116303780379,False
5352,0x7a5285e6f7572459c5e1351260a894b541acaf11,2.061386704780418,False,20569.20345814,53733.59252345,0.0,0.789,0.3436,20000.0,0.97232739423778,False
5353,0x32ad9329cf76893e2560d4b41a7b7e77729048a4,2.061404760153575,False,144.43497403,358.72161807,0.0,0.83,0.0,138.987551,0.9622845985428118,False
5354,0x9f72f1f985e2e98333093bb12d9a0ec301dc4491,2.0616453460856934,False,5096.63037881,12659.57144722,0.0,0.83,0.0,5000.0,0.9810403400623762,False
5355,0xa45672b57f8ff3fdf498c0c58439611be3029773,2.0616609017044394,False,0.29869233,0.74193048,0.0,0.83,0.0,0.25,0.8369816526591091,False
5356,0x3f9bc16a9101a68dbed0d931d08e4d697c7e1585,2.061751023147262,False,3872.1024312,10235.01429392,3599.45800336,0.78,0.73,1230.0,0.3176568858533042,False
5357,0x5aa57cc14ba5860103d464764f799aa489899ac1,2.061752534523886,False,72264.29685584,191014.22717707,67176.08898342,0.78,0.73,70036.045525,0.9691652527210616,False
5358,0xe95a2aba9b10e78f9d141715cb1aab0c00f2c741,2.0617655790858906,False,4641.5418438,11938.10619919,305.60936514,0.8016,0.4144,1200.0,0.2585347801190063,False
5359,0x106ec3b50c1452d2e8c411f1cee7edd81ef5ee66,2.061809653113272,False,5391.30683933,14251.08780029,5297.00901088,0.78,0.75,1588.0,0.2945482509760745,False
5360,0x6c69691af47ee227ba6b51e4454fd0f4f8060abf,2.062798676243606,False,442063.6692934,1132755.26797311,0.0,0.805,0.3647,209992.811411,0.4750284314172551,True
5361,0x4a79ae03f05503f71b08a349cfd62fcf92d7ef74,2.0629381162764653,False,30741.97526759,77458.21759798,3463.57362367,0.8187,0.4416,30000.0,0.9758644244186796,False
5362,0x9427d1dbb8a0e71bf4c3df16fa86cea04f4fbb7e,2.0636425731553327,False,173726.29081735,451342.37160516,142077.96659478,0.7943,0.6997,149147.027392,0.8585173072555159,True
5363,0x229a1498881d5aa2c7965120bbc47f317af3f68c,2.0650453836703377,False,144.10142021,378.92882475,103.11174505,0.7853,0.6524,132.502898,0.9195113955636427,False
5364,0x203962b5aa6f23224496a4cf6c85efca668ebd3b,2.0651560772020363,False,1241180.99315888,3088231.89268641,0.0,0.83,0.0,1195837.838384,0.9634677335337862,True
5365,0x01fa18caf26275d526a35b70b35fd5480b2225ab,2.065357176527284,False,129685.33480977,325608.92087909,0.0,0.8226,0.2903,125000.0,0.9638715139484142,True
5366,0xea04daee4a97588e2676c3992cd6ae8ea3fedb36,2.065490266411804,False,15362.44508936,38230.09734983,0.0,0.83,0.0,15000.0,0.9764070701472496,False
5367,0x18bfbc081001d58c26e52f9b2d0299c0c887c9c7,2.065820554213637,False,59201.04251471,150986.0868446,59307.93704961,0.81,0.7849,57903.669657,0.9780853038628899,False
5368,0x5c7e972c2757b237ea221063c9087e085aa04cf0,2.0658887422738483,False,1.01589547,2.69067566,0.94829776,0.78,0.73,1.0,0.9843532425634303,False
5369,0xd93b96f33ddd15893813764ee17a41c85c8d8227,2.066904623035965,False,38966.95474692,99695.78518524,0.0,0.8078,0.3231,35231.0,0.9041250523377043,False
5370,0x92c153a4abda7ae2bc569998fe82a69ee35dfccb,2.067099077879739,False,146937.89686186,389404.09116505,137327.08968862,0.78,0.73,60000.0,0.40833577505473284,True
5371,0x1118b67e42192db07db64ae9d03249389ba69adb,2.067150108289442,False,10241.76490474,25955.42273466,0.0,0.8156,0.21,8400.0,0.8201711402409159,False
5372,0x0a93f6118da879b057542c24495889bda88d158e,2.067157275469269,False,91228.61986393,227209.52443704,0.0,0.83,0.0,11170.0,0.12243964686367462,False
5373,0x90010a9b973d79414d3ab2a5f7cd52fa741711ef,2.06763904570817,False,0.50854716,1.32905082,0.26562494,0.7911,0.5825,0.5,0.9831929845011818,False
5374,0x96d6cb614041d1df1c783f0f08819b1e618d8890,2.067877691522941,False,205313.10876926,533693.18884611,63348.04249587,0.7955,0.5034,30000.0,0.1461182882078676,True
5375,0xaf74df8ff9846361867a7e978566ba8211563c29,2.068316215144122,False,14656.63662715,37353.48677321,0.0,0.8115,0.0628,13200.0,0.9006159008914965,False
5376,0xb0c17e212d66946156056ee9155063b5a61560c1,2.0687620794832497,False,4511.72039806,11245.39285872,0.0,0.83,0.0,4475.0,0.9918611095501864,False
5377,0x4ada5de47f222788a40cf05993c69d4e65f555d8,2.069553619063055,False,75279.98640712,190645.52450066,0.0,0.8172,0.1919,75000.0,0.9962807324963396,False
5378,0x572705b6ecebe5698a21c64822d414d84b34c302,2.0697199250757503,False,9.02749115,23.77299034,0.0,0.7859,0.1581,8.997861,0.9967177868681711,False
5379,0x40eeac11db40ca62b82762cb66d0f8106c1da57a,2.0702050769321483,False,6232.46774326,16135.61596309,0.0,0.7996,0.3846,6002.89599,0.9631651919084111,False
5380,0xd088ec882a8e34cc405bbe9a756ec93c3663307e,2.070313178425598,False,4539.06762123,12047.80963333,4255.8334111,0.78,0.73,4242.0,0.9345531624511245,False
5381,0x74a56d626668150b3ef86243773d7e791a76085a,2.0705880728713417,False,25939.11349558,66307.6778084,26112.41358401,0.81,0.785,25000.0,0.9637954668057556,False
5382,0x93ae98fe234910a3a140d1ae4d2c0dec7ba87490,2.070838066840434,False,408.49009003,1019.17690164,0.0,0.83,0.0,401.0,0.9816639614697877,False
5383,0x1d189a1f7c996e08f6b2657090a1eb3da6dcc5d6,2.0709098510493247,False,31582.46455871,78847.96707993,0.0,0.8295,0.0,20692.069512,0.6551758959005439,False
5384,0x8ae9ad928119a57e07b29a87e0d10c7e028cb975,2.070948495133602,False,44085.96891204,112469.3872835,0.0,0.8117,0.266,38000.0,0.8619522477960577,False
5385,0x30e363cb8e29582d7cd1eb7fa33bed7538797faf,2.0709699455692885,False,40118.65407358,100101.83956997,0.0,0.83,0.0,38100.0,0.9496829063637661,False
5386,0x80f76e6b34dfb76959a58ae41fa1923e390904c9,2.0711970674408113,False,31352.79739132,78697.78487463,0.0,0.8251,0.0725,29000.0,0.9249573375557433,False
5387,0xa189a8da84ddcf95c4dc900465ceacd6fb693ee6,2.07125778652802,False,2.20340824,5.49859045,0.0,0.8299,0.0,1.0,0.45384236195830874,False
5388,0x3495cc61b520ebd9e6f05e93021ca93e63b10554,2.071334036754116,False,2423.80483433,6048.80656843,0.0,0.83,0.0,1967.250181,0.8116372049170357,False
5389,0x88f6bb9b7de042ba8cabaf50ea9d7d0048200c45,2.071645468999006,False,1428.21796097,3564.77261155,0.0,0.83,0.0,1383.159499,0.9684512706034045,False
5390,0x8b418f74a47fdbc019b4dbb5ef5458cc30b5828c,2.0721598543469475,False,632.29297176,1578.56880996,0.0,0.83,0.0,567.347372,0.8972855896543929,False
5391,0xf495e57bb5a0f3218ac28b3f9d4c59b18d0aca47,2.072298683090753,False,4459.61793861,11556.41058593,651.78246354,0.7996,0.4423,1084.837064,0.24325784830306077,False
5392,0xc9f69b00ab541eada632e1da19b71f0bf82578b2,2.0723416348028123,False,1536.82366105,4053.46874319,1481.38916512,0.7857,0.7446,1500.0,0.976039111068318,False
5393,0xbe9b9cfb202a3220a66e0a09370bfebe35f09819,2.0729948846849187,False,1960.47587694,5149.21664841,1186.2104169,0.7892,0.6111,1900.0,0.9691524503558833,False
5394,0x7bcb38a7e2a41a772f156be1c4025785390315b6,2.0731668882426075,False,5279.77309254,13290.78454129,0.0,0.8235,0.0964,4610.0,0.8731435838622783,False
5395,0x4550f88b68c833d875c8c3f09481fac9d3f156e4,2.0733297147020555,False,12629.49091042,31601.62866579,0.0,0.8285,0.0166,12250.0,0.9699520025698819,False
5396,0x1a57d9e75d7cc8861ec293997b126d568e40e75a,2.0735290679403016,False,23297.7567699,61934.07164127,21914.11552822,0.78,0.73,23000.0,0.9872195090351062,False
5397,0x28fd71d8fe739a6de7bce970a4ee49814c6e1be0,2.073688587019229,False,69436.52415269,202802.43332073,0.0,0.71,0.0,63968.311428,0.9212487550116207,False
5398,0x3e67c7c50e1f60031ed3b40b61348704be5904d6,2.0741076531529705,False,10698.73117693,28666.11516042,8461.70019629,0.774,0.6684,10640.0,0.9945104540006909,False
5399,0xf4ff14731aa16d78a3b5fafce5610ba0e5fc0372,2.074195690020824,False,29091.14135022,75419.29501667,27956.01340038,0.8,0.7564,28173.932794,0.9684712076030986,False
5400,0xe00dedd2d7de93666b672f73f4dc578b0a5a0e2a,2.074206464008459,False,23911.40525366,63151.13783492,22807.80651661,0.7853,0.7398,400.0,0.01672841875066184,False
5401,0x19f412612a216b9b98c13343da4eebcf2f6ec0d5,2.0744428501192327,False,64.74613788,181.5029227,0.0,0.74,0.0,63.15,0.975347751506688,False
5402,0xc9de76ffc62d9e96a8c620f8130c4ed685ef8f50,2.074849058686555,False,27662.45381305,78032.02230337,0.0,0.7355,0.0,16333.303587,0.5904502795516507,False
5403,0xb440dbefcba4183935b3e972184bb37cad86d278,2.075133624901553,False,15151.82638659,37882.00531745,0.0,0.83,0.0,15000.0,0.989979664317935,False
5404,0x62eb45dbb03fd1a767d364ac84493b2dc68dbfbb,2.0754486605889273,False,17196.43231065,44957.04512724,7134.32051221,0.7938,0.5412,15205.392839,0.8842178752149118,False
5405,0xc0732f59aeb894c91dc4f3edab3b84af4b51f029,2.0756164464688034,False,37.38408064,100.0674631,3.34337684,0.7754,0.407,31.0,0.8292299681921508,False
5406,0x958bc856af7a6fdf22d4de5e995c69e5c1d6fe1f,2.0759136269133145,False,3516.29284879,9265.23497575,2186.45927878,0.7878,0.6155,3500.0,0.9953664698901269,False
5407,0x5dfaf31987c4358506dae75fe4734b000060b59b,2.07594556537872,False,19010.73643853,52620.3386722,0.0,0.75,0.0,13700.0,0.7206454123593831,False
5408,0x93a208b0d7007f5733ea23f65bacf101be8ac6cd,2.0763039552126297,False,46930.54307624,119091.3634565,0.0,0.8182,0.1891,5000.0,0.10654042489722222,False
5409,0xfc2d6a84afe0ce269f13846eb80206c2ddf8e614,2.0765507573646294,False,3410.58225686,8532.8279139,0.0,0.83,0.0,1575.0,0.4617979809260034,False
5410,0x8323f1c687f7e2296ec71ee3549a7430ea7ec730,2.076674736243519,False,125445.76596341,331577.0989162,120020.76036425,0.7856,0.7403,120373.923932,0.9595694442737163,True
5411,0x0a7607d8ecbe737d9c3c33e01ea634256a6919ad,2.076681228901496,False,2509.49443279,6681.30767001,2471.4204352,0.78,0.7455,2495.664916,0.9944891223469963,False
5412,0x5e79473351fd96029d8aaa61d8f6cc874c0baa75,2.077108751360956,False,10.1956839,25.51511356,0.0,0.83,0.0,9.999995,0.9808066921337174,False
5413,0x90855661b3102149e4d9910de8506df0d2640c11,2.077254796495495,False,7820.20636101,20826.36041282,7380.9541043,0.78,0.7299,7701.163968,0.9847775892969369,False
5414,0xb9594cd2405868a44d07bcf1dfad38b9fa490e53,2.0776897422478617,False,10185.78883396,26454.95351137,10115.74249066,0.7999,0.7674,2268.244262,0.22268714765002243,False
5415,0x73670040fe316cec70cb988b3405c2d65d35f026,2.077970210246292,False,81528.42109603,220551.0088629,15800.73911516,0.7681,0.4413,77160.517355,0.9464247720940755,False
5416,0xa3a077fae265fea4ad77a0b58add0d7c613338ec,2.0779977781441525,False,55790.97145567,140639.8721337,0.0,0.8243,0.0559,52176.599812,0.9352158324301293,False
