rank_by_lowest_hf,address,hf,is_hf_below_1,total_debt_usd,collateral_usd,available_borrows_usd,liquidation_threshold,ltv,weth_debt_events_tokens,weth_debt_events_usd,weth_debt_share_of_total_debt,weth_share_for_model,is_material_debt_ge_100k,days_to_liq_post_change_flat_observed,hf_7d_post_change_flat_observed,hf_30d_post_change_flat_observed,days_to_liq_pre_change_regime_observed_peak,hf_7d_pre_change_regime_observed_peak,hf_30d_pre_change_regime_observed_peak,days_to_liq_hypothetical_re_steepen_12,hf_7d_hypothetical_re_steepen_12,hf_30d_hypothetical_re_steepen_12,days_to_liq_hypothetical_crisis_20,hf_7d_hypothetical_crisis_20,hf_30d_hypothetical_crisis_20
1,0xad0e460a03e87cf34894b6048cfa7618fea1fed4,1.0000111476109492,False,1417.84935554,1492.48964334,0.0,0.95,0.0,0.607719018718392,1417.2955966873142,0.9996094374550285,0.9996094374550285,False,0.08334916199104472,0.9990753586864675,0.9960067800717272,0.05072683217304977,0.9984740177609509,0.9934400630138082,0.0359026225745059,0.9978400256720319,0.990739472845148,0.02232001842508343,0.9965211204483544,0.9851394146123035
2,0xe8528a6c5c3df3da0f63ae8e9729e74a19fd0806,1.00014443223364,False,112.52727449,135.59461097,0.0,0.8299,0.0,0.04833029502001658,112.71379076291413,1.0016575205767622,1.0,False,1.080421905056458,0.999209033068074,0.99614173390368,0.6573096203640569,0.9986073765317344,0.9935736629987898,0.46514224028954293,0.9979730520020426,0.9908716539848007,0.28912630793483873,0.9966534562049523,0.9852686719218172
3,0x581cb733684bc327a178ef0b350a333bb58cb7b9,1.000824570361648,False,755.89139883,911.46347527,0.0,0.83,0.0,0.3052,711.7740317247001,0.9416353100808045,0.9416353100808045,False,5.6976305669351355,0.9998116055111362,0.9964898348279239,3.6522029782591034,0.9992447464886095,0.9940712368631878,2.6489439544674553,0.9986470656615877,0.9915257063791094,1.6850426443994235,0.9974035582615051,0.9862446199239003
4,0x02125fedc69054163e960416cfcc2b425a25ba3e,1.0008727313798933,False,13.79725936,16.63771164,0.0,0.83,0.0,0.00570026381916841,13.293904850799263,0.9635177903040639,0.9635177903040639,False,6.207054457564401,0.9998885607365466,0.996661236755843,3.9041057996121076,0.9993084748615108,0.9941858415367935,2.805842269842847,0.9986968645746805,0.9915808361908836,1.7693602256975294,0.9974244306997918,0.9861773517530024
5,0x4467e0693152b06bbe71d0464c00d02f212cd28d,1.0009951178104193,False,2853247.6380737,3006407.32170093,0.0,0.95,0.9299,1172.7692115538214,2735080.8322092434,0.9585851559858877,0.9585851559858877,True,7.030565181686296,1.0000043242550858,0.9967552747911693,4.441300553907738,0.9994271432927645,0.9942923570362051,3.1985424675688767,0.9988185920666153,0.9917004144608104,2.0209513040125966,0.9975525102323873,0.986323803360526
6,0xd0bdbe60965ea73315f4b9c433c94f386293506c,1.0020302766028508,False,34.24823667,41.34671092,0.0,0.83,0.0,0.014167157363552932,33.04002200109549,0.964721843038335,0.964721843038335,False,14.454228950107245,1.001046556657611,0.9978207126143697,9.082022053013121,1.0004650727303022,0.9953393314916399,6.523880027294222,0.9998519893291675,0.9927280435485437,4.1119742787429265,0.9985764936984908,0.9873115819928411
7,0xe677b7b226fdfbb2c8f24d4e98f5ecd9fb8b2c78,1.0020994216190706,False,36.65489633,44.25524146,0.0,0.83,0.0,0.015,34.98234100875,0.9543702072925764,0.9543702072925764,False,14.741028916435306,1.0011019724905543,0.9978310924497333,9.34672002072207,1.0005267004042893,0.995376389440522,6.743272846259882,0.999920158636885,0.9927930340395572,4.26777227354444,0.9986582470370579,0.9874340463942967
8,0x15b21c0a06faacac1fbbd47666d1980397c63742,1.0023449983950279,False,9.41483719,11.36977707,0.0,0.83,0.0,0.003947295273452434,9.205708621209343,0.9777873409204799,0.9777873409204799,False,16.990228059414676,1.001378217087642,0.9982079449877406,10.551303540227002,1.0007886571874816,0.9956918809156458,7.537599435224011,1.000167069001105,0.9930442783005612,4.726409820937203,0.9988739125865392,0.9875530926793806
9,0x25096645ceb47dd7af0b5ba5591e4fe017be30f9,1.0024271278018824,False,786.96888294,830.3989021,0.0,0.95,0.0,0.33,769.6115021925,0.977944006270419,0.977944006270419,False,17.588298362812786,1.0014604741117004,0.9982906208657896,10.921182447735124,1.0008707712471336,0.9957739440240978,7.80131554610356,1.0002490324503424,0.9931256988112339,4.891468329206986,0.9989555631016017,0.9876331876432252
10,0x079e5016e76098e664499d2ec36d56aa1bc9f5e0,1.002584252820084,False,12411065.50725211,13098040.88240997,0.0,0.95,0.93,5191.243072459755,12106789.02800655,0.9754834523218201,0.9754834523218201,True,18.66257832875262,1.0016141986420377,0.9984331888134402,11.614111211258535,1.0010258902418532,0.9959225045055639,8.304949112456681,1.000405619774205,0.993280530526184,5.212312712030341,0.999115198929609,0.9878009129659809
